type,id,startHour,finishHour,workDays
retail,1019,8,18,[0 1 2 3 5 6]
retail,1256,8,18,[0 1 2 3 4 5]
retail,1257,9,20,[0 1 2 3 4 5]
retail,1258,8,18,[0 1 2 3 4 6]
retail,1263,9,19,[0 1 2 3 4 5]
retail,1264,8,19,[1 2 3 4 5 6]
retail,1265,9,19,[0 1 3 4 5 6]
retail,1362,8,18,[0 1 2 3 4 5]
retail,1385,9,20,[0 1 2 4 5 6]
retail,1386,9,19,[1 2 3 4 5 6]
retail,1510,9,20,[0 1 2 3 5 6]
retail,1511,9,20,[0 1 2 3 4 6]
retail,1514,9,19,[0 1 2 3 5 6]
retail,1515,8,18,[0 1 2 3 5 6]
retail,1516,8,18,[0 1 2 3 4 6]
retail,1628,8,19,[1 2 3 4 5 6]
retail,1629,9,20,[0 1 2 3 4 5]
hospital,30,0,0,[0 1 2 3 4 5 6]
hospital,31,0,0,[0 1 2 3 4 5 6]
hospital,111,0,0,[0 1 2 3 4 5 6]
hospital,116,0,0,[0 1 2 3 4 5 6]
hospital,1722,0,0,[0 1 2 3 4 5 6]
