type,id,startHour,finishHour,workDays
retail,742,8,18,[0 1 2 4 5 6]
retail,857,8,18,[0 2 3 4 5 6]
retail,858,0,0,[0 1 2 3 4 6]
retail,897,0,0,[0 1 3 4 5 6]
retail,929,9,20,[1 2 3 4 5 6]
retail,988,9,19,[0 1 3 4 5 6]
retail,989,8,19,[0 1 2 4 5 6]
retail,990,9,19,[0 1 3 4 5 6]
retail,991,0,0,[1 2 3 4 5 6]
retail,992,8,18,[0 1 3 4 5 6]
retail,993,8,18,[0 1 2 3 4 5]
retail,997,9,19,[0 1 2 3 5 6]
retail,1000,8,18,[0 1 2 3 4 5]
retail,1001,9,19,[1 2 3 4 5 6]
retail,1006,8,18,[0 2 3 4 5 6]
retail,1007,8,18,[0 1 2 3 4 6]
retail,1008,8,19,[0 1 2 3 5 6]
retail,1010,9,19,[0 1 3 4 5 6]
retail,1011,9,19,[0 1 2 3 4 5]
retail,1012,8,19,[0 1 2 3 4 5]
retail,1013,9,20,[0 1 2 3 4 6]
retail,1014,8,19,[0 1 2 3 5 6]
retail,1015,0,0,[0 1 2 4 5 6]
retail,1016,8,19,[0 1 2 3 5 6]
retail,1018,9,20,[1 2 3 4 5 6]
retail,1019,9,20,[1 2 3 4 5 6]
retail,1256,8,18,[1 2 3 4 5 6]
retail,1257,8,18,[0 1 3 4 5 6]
retail,1258,9,20,[0 2 3 4 5 6]
retail,1263,8,18,[1 2 3 4 5 6]
retail,1264,9,20,[0 1 2 3 4 6]
retail,1265,9,19,[0 1 3 4 5 6]
retail,1362,8,18,[0 2 3 4 5 6]
retail,1385,8,18,[1 2 3 4 5 6]
retail,1386,9,20,[0 2 3 4 5 6]
retail,1510,8,18,[1 2 3 4 5 6]
retail,1511,9,20,[0 1 2 3 4 6]
retail,1514,8,18,[1 2 3 4 5 6]
retail,1515,8,19,[0 1 2 3 4 6]
retail,1516,9,20,[1 2 3 4 5 6]
retail,1628,9,19,[0 1 2 3 5 6]
retail,1629,8,19,[0 1 2 3 4 6]
hospital,30,0,0,[0 1 2 3 4 5 6]
hospital,31,0,0,[0 1 2 3 4 5 6]
hospital,111,0,0,[0 1 2 3 4 5 6]
hospital,116,0,0,[0 1 2 3 4 5 6]
hospital,1722,0,0,[0 1 2 3 4 5 6]
